Model,MSE,RMSE,MAE,R2
ResidualMLP,7075733.0,2660.025,1801.9865,0.9646256732305672
CNN-BiLSTM,11993328.0,3463.1384,2376.3286,0.9400407135511003
AttentionLSTM,14336855.0,3786.404,2438.1504,0.9283245178760207
ImprovedTransformer,16612780.0,4075.878,2971.736,0.9169462865346151
