模型,Overall_MSE,Overall_RMSE,Overall_MAE,Overall_R2,Overall_MAPE,Train_MSE,Train_RMSE,Train_MAE,Train_R2,Train_MAPE,Test_MSE,Test_RMSE,Test_MAE,Test_R2,Test_MAPE
ResidualMLP,1646082.5521069134,1282.9974871787215,664.3067729785755,0.9914765329478739,68620.02141353763,264668.7571500766,514.4596749504052,374.85787974808454,0.9986168461768407,67524.41558753933,7075733.155552073,2660.0250291213565,1801.986419390804,0.9646256745274582,72926.30303312693
CNN-BiLSTM,5493582.501053468,2343.839265191508,1506.0621550972667,0.9715540576103349,700947.4801824796,3839911.9002238,1959.5693149832184,1284.6483456005778,0.9799326944268756,699192.0582934484,11993339.205723474,3463.1400788480205,2376.329723535986,0.9400406607712504,707847.1705966594
AttentionLSTM,6741905.624208844,2596.5179807212667,1656.385052382132,0.9650902013492966,166876.4367733693,4809596.454718383,2193.0792176112523,1457.4881935484445,0.9748651416365505,174494.32413900935,14336851.965753328,3786.4035661499856,2438.1496862175877,0.9283245344985542,136934.3101760905
ImprovedTransformer,14534619.615634914,3812.4296210730126,2730.26595795492,0.9247392840350057,345906.94676083274,14005892.81685688,3742.4447647035327,2668.8310486177497,0.9268054741141549,341005.19380182016,16612781.70763321,4075.8780290427253,2971.73603286871,0.9169462818607023,365173.299832595
